name,mgp_id
"Jonathan Block",23182
"Ching-Li Chai",23857
"Ted Chinburg",23196
"Christopher B. Croke",23197
"Dennis DeTurck",23121
"Ron Donagi",23198
"Charles L. Epstein",33693
"Andres Fernandez Herrero",337653
"Peter J. Freyd",23200
"Nir Gadish",258243
"Robert Ghrist",39596
"Angela Gibney",48447
"Herman Gluck",23201
"Antonella Grassi",39289
"Philip Gressman",89109
"James Haglund",5627
"David Harbater",23203
"Julia Hartmann",68558
"Ryan Hynd",149341
"Jerry L. Kazdan",23204
"Alexandre Kirillov",25063
"Daniel Krashen",61265
"Davi Maximo",176251
"Mona Merling",185111
"Yoichiro Mori",131829
"Yumeng Ou",206156
"Tony Pantev",23078
"Robin Pemantle",45244
"Florian Pop",44604
"Gerald J. Porter",14866
"Robert T. Powers",36309
"Andre Scedrov",23207
"Julius Shaneson",6581
"Robert Strain",91164
"Henry Towsner",146899
"Frank Warner",23209
"Wolfgang Ziller",21781
"Bhaswar B. Bhattacharya",215810
"Mirjam Cvetič",116823
"Jean Gallier",78759
"Jonathan Heckman",253311
"Jiaoyang Huang",286041
"Randall Kamien",117661
"Sampath Kannan",82550
"Joshua Plotkin",70041
"Pedro Ponte Castañeda",132880
"Celia Reina",158643
"Weijie Su",296262
"Scott Weinstein",82945
"Aaron Anderson",318490
"Shreya Arya",316245
"Ahmed Bou-Rabee",280997
"Jingwen Chen",306146
"Andrew Cooper",290266
"Brett Frankel",223775
"Shira Gilat",271178
"Jianqi Liu",310567
"Mira Peterka",152995
"Patrick Shields",255471
"Jay Swar",161432
"Han Zhou",308221
"Duong Dinh",269030
"Robert Lazarsfeld",4445
"Eliyahu Matzri",156108
"Efe Onaran",138978
"David Saltman",7980
"Mark Skandera",47213
"James Stasheff",8588
